code,system
CA40.08,icd11
CA40.07,icd11
J13,icd11
J15.4,icd11
J15.3,icd11
482.3,icd11
CA40.07,icd11
CA40.08,icd11
J15.4,icd11
J13,icd11
J15.3,icd11
482.3,icd11
CA40.03,icd11
J15.0,icd11
482.0,icd11
CA40.03,icd11
J15.0,icd11
482.0,icd11
CA40.1Y,icd11
CA40.12,icd11
CA40.11,icd11
J10.8,icd11
J11.8,icd11
J10,icd11
J11.0,icd11
J12.1,icd11
J10.0,icd11
J09,icd11
J10.1,icd11
J12.2,icd11
J11,icd11
J11.1,icd11
480.8,icd11
480.3,icd11
480.2,icd11
480.1,icd11
CA40.12,icd11
CA40.1Y,icd11
CA40.11,icd11
J11.8,icd11
J10.0,icd11
J12.1,icd11
J10,icd11
J11.1,icd11
J12.2,icd11
J10.8,icd11
J11.0,icd11
J11,icd11
J09,icd11
J10.1,icd11
480.2,icd11
480.8,icd11
480.3,icd11
480.1,icd11
CA40.0Y,icd11
CA40.0Z,icd11
CA40.0,icd11
J15,icd11
J15.6,icd11
J17.0,icd11
J15.9,icd11
J15.8,icd11
A31.0,icd11
482.9,icd11
182.8,icd11
CA40.0Z,icd11
CA40.0,icd11
CA40.0Y,icd11
J15.9,icd11
J17.0,icd11
A31.0,icd11
J15.6,icd11
J15,icd11
J15.8,icd11
182.8,icd11
482.9,icd11
CA40.05,icd11
CA40.05,icd11
CA40.00,icd11
CA40.00,icd11
CA40.04,icd11
J15.7,icd11
483.0,icd11
CA40.04,icd11
J15.7,icd11
483.0,icd11
CA40.10,icd11
480.0,icd11
CA40.10,icd11
480.0,icd11
CA40.Z,icd11
J18,icd11
J18.9,icd11
J18.8,icd11
J18.0,icd11
486.0,icd11
483.8,icd11
485.0,icd11
CA40.Z,icd11
J18.0,icd11
J18,icd11
J18.9,icd11
J18.8,icd11
483.8,icd11
486.0,icd11
485.0,icd11
CA40.06,icd11
J15.2,icd11
482.4,icd11
CA40.06,icd11
J15.2,icd11
482.4,icd11
CA40.13,icd11
J12.3,icd11
CA40.13,icd11
J12.3,icd11
CA40.1,icd11
CA40.1Z,icd11
J17.1,icd11
J12,icd11
J12.0,icd11
J12.9,icd11
J12.8,icd11
480.9,icd11
CA40.1,icd11
CA40.1Z,icd11
J12.0,icd11
J12,icd11
J12.9,icd11
J17.1,icd11
J12.8,icd11
480.9,icd11
CA40.02,icd11
J14,icd11
482.2,icd11
CA40.02,icd11
J14,icd11
482.2,icd11
CA40.01,icd11
J15.5,icd11
482.8,icd11
CA40.01,icd11
J15.5,icd11
482.8,icd11
CA40.2Z,icd11
CA40.2Z,icd11
B25.0,icd11
B25.0,icd11
B59,icd11
B59,icd11
J20,icd11
J21,icd11
J20,icd11
J21,icd11
J17.2,icd11
J17.2,icd11
B01.2,icd11
B01.2,icd11
A42.0,icd11
A42.0,icd11
J17.3,icd11
J17.3,icd11
B37.1,icd11
B37.1,icd11
J17,icd11
J17.8,icd11
J17.8,icd11
J18.1,icd11
J18.1,icd11
A21.2,icd11
A21.2,icd11
A43.0,icd11
A43.0,icd11
J16,icd11
J16.8,icd11
484.8,icd11
J16.8,icd11
J16,icd11
484.8,icd11
A48.1,icd11
A48.1,icd11
J18.2,icd11
J18.2,icd11
J22,icd11
J22,icd11
B58.3,icd11
115.9,icd11
116.5,icd11
117.5,icd11
B58.3,icd11
117.5,icd11
116.5,icd11
115.9,icd11
J16.0,icd11
483.1,icd11
J16.0,icd11
483.1,icd11
B05.2,icd11
B05.2,icd11
J15.1,icd11
482.1,icd11
J15.1,icd11
482.1,icd11
A20.2,icd11
A20.2,icd11
B67.1,icd11
B67.1,icd11
J85.1,icd11
J85.1,icd11
J85.0,icd11
517.0,icd11
116.1,icd11
116.4,icd11
116.1,icd11
116.4,icd11
A22.1,icd11
A22.1,icd11
A78,icd11
A78,icd11
117.6,icd11
117.1,icd11
116.6,icd11
117.4,icd11
117.0,icd11
117.6,icd11
117.0,icd11
116.6,icd11
117.4,icd11
117.1,icd11
487.0,icd11
487.0,icd11
730.0,icd11
730.0,icd11
484.7,icd11
484.7,icd11
116.2,icd11
117.2,icd11
117.2,icd11
116.2,icd11
117.3,icd11
116.3,icd11
116.3,icd11
117.3,icd11
116.0,icd11
116.0,icd11
481.0,icd11
481.0,icd11